Code,Reg,Dep,PopulationTotal,Level
77147,11,77,670.999999999998,Municipality
77148,11,77,1914.00000000001,Municipality
77150,11,77,441.0,Municipality
77151,11,77,294.0,Municipality
77152,11,77,21835.0,Municipality
77153,11,77,9920.00000000001,Municipality
77154,11,77,1068.0,Municipality
77155,11,77,3374.99999999999,Municipality
77156,11,77,875.0,Municipality
77157,11,77,299.999999999999,Municipality
77158,11,77,197.0,Municipality
77159,11,77,2832.0,Municipality
77161,11,77,806.0,Municipality
77162,11,77,1019.0,Municipality
77163,11,77,325.0,Municipality
77164,11,77,557.0,Municipality
77165,11,77,604.0,Municipality
77167,11,77,331.0,Municipality
77168,11,77,2150.0,Municipality
77169,11,77,7720.00000000001,Municipality
77171,11,77,6220.0,Municipality
77172,11,77,899.0,Municipality
77173,11,77,889.000000000001,Municipality
77174,11,77,590.0,Municipality
77175,11,77,2866.0,Municipality
77176,11,77,2822.0,Municipality
77177,11,77,1109.0,Municipality
77178,11,77,487.0,Municipality
77179,11,77,579.0,Municipality
77180,11,77,1237.0,Municipality
77181,11,77,3433.0,Municipality
77182,11,77,4860.00000000001,Municipality
77183,11,77,9618.99999999999,Municipality
77184,11,77,648.999999999999,Municipality
77185,11,77,655.999999999998,Municipality
77186,11,77,14886.0,Municipality
77187,11,77,602.0,Municipality
77188,11,77,1001.0,Municipality
77190,11,77,247.0,Municipality
77191,11,77,1066.0,Municipality
77192,11,77,5574.0,Municipality
77193,11,77,218.0,Municipality
77194,11,77,418.0,Municipality
77195,11,77,575.0,Municipality
77196,11,77,931.000000000003,Municipality
77197,11,77,167.0,Municipality
77198,11,77,239.0,Municipality
77199,11,77,1366.0,Municipality
77200,11,77,114.0,Municipality
77201,11,77,689.0,Municipality
77202,11,77,784.000000000003,Municipality
77203,11,77,1306.0,Municipality
77204,11,77,209.0,Municipality
77205,11,77,151.000000000001,Municipality
77206,11,77,172.0,Municipality
77207,11,77,155.0,Municipality
77208,11,77,1479.0,Municipality
77209,11,77,1176.0,Municipality
77210,11,77,2786.0,Municipality
77211,11,77,1028.0,Municipality
77212,11,77,165.0,Municipality
77214,11,77,839.999999999999,Municipality
77215,11,77,8656.99999999999,Municipality
77216,11,77,1414.0,Municipality
77217,11,77,2451.0,Municipality
77218,11,77,109.0,Municipality
77219,11,77,2480.0,Municipality
77220,11,77,269.0,Municipality
77221,11,77,1147.0,Municipality
77222,11,77,4095.0,Municipality
77223,11,77,573.0,Municipality
77224,11,77,255.0,Municipality
77225,11,77,300.0,Municipality
77226,11,77,2604.0,Municipality
77227,11,77,642.0,Municipality
77228,11,77,254.0,Municipality
77229,11,77,1629.0,Municipality
77230,11,77,166.0,Municipality
77231,11,77,806.0,Municipality
77232,11,77,1014.0,Municipality
77233,11,77,588.0,Municipality
77234,11,77,686.0,Municipality
77235,11,77,308.0,Municipality
77236,11,77,362.0,Municipality
77237,11,77,687.000000000003,Municipality
77238,11,77,4337.0,Municipality
77239,11,77,1527.0,Municipality
77240,11,77,2096.0,Municipality
77241,11,77,1963.0,Municipality
77242,11,77,551.0,Municipality
77243,11,77,21356.0,Municipality
77244,11,77,696.0,Municipality
77245,11,77,448.000000000001,Municipality
77246,11,77,596.0,Municipality
77247,11,77,463.000000000001,Municipality
77248,11,77,743.0,Municipality
77249,11,77,7214.00000000001,Municipality
77250,11,77,163.999999999999,Municipality
77251,11,77,13291.0,Municipality
77252,11,77,490.0,Municipality
77253,11,77,230.0,Municipality
77254,11,77,1316.0,Municipality
77255,11,77,2076.0,Municipality
77256,11,77,185.0,Municipality
77257,11,77,3566.00000000001,Municipality
77258,11,77,14000.0,Municipality
77259,11,77,2368.0,Municipality
77260,11,77,1796.0,Municipality
77261,11,77,1230.0,Municipality
77262,11,77,476.999999999999,Municipality
77263,11,77,243.0,Municipality
77264,11,77,1527.0,Municipality
77265,11,77,1110.0,Municipality
77266,11,77,783.000000000002,Municipality
77267,11,77,355.0,Municipality
77268,11,77,8645.0,Municipality
77269,11,77,1732.0,Municipality
77270,11,77,900.0,Municipality
77271,11,77,133.0,Municipality
77272,11,77,879.000000000002,Municipality
77273,11,77,564.0,Municipality
77274,11,77,472.999999999998,Municipality
77275,11,77,149.0,Municipality
77276,11,77,3107.99999999999,Municipality
77277,11,77,1679.0,Municipality
77278,11,77,401.000000000001,Municipality
77279,11,77,1748.0,Municipality
77280,11,77,1159.0,Municipality
77281,11,77,483.0,Municipality
77282,11,77,353.000000000001,Municipality
77283,11,77,912.000000000003,Municipality
77284,11,77,54991.0,Municipality
77285,11,77,20816.0,Municipality
77286,11,77,232.0,Municipality
77287,11,77,501.0,Municipality
77288,11,77,40032.0,Municipality
77289,11,77,351.999999999999,Municipality
77290,11,77,670.000000000003,Municipality
77291,11,77,1014.0,Municipality
77292,11,77,1161.0,Municipality
77293,11,77,978.0,Municipality
77294,11,77,19931.0,Municipality
77295,11,77,1380.0,Municipality
77296,11,77,17713.0,Municipality
77297,11,77,336.999999999999,Municipality
77298,11,77,451.999999999999,Municipality
77300,11,77,594.0,Municipality
77301,11,77,330.0,Municipality
77302,11,77,1982.0,Municipality
77303,11,77,246.000000000001,Municipality
77304,11,77,26.0,Municipality
77305,11,77,20206.0,Municipality
77306,11,77,516.0,Municipality
77307,11,77,11563.0,Municipality
77308,11,77,771.999999999999,Municipality
77309,11,77,1707.0,Municipality
77310,11,77,301.0,Municipality
77311,11,77,1386.0,Municipality
77312,11,77,2701.00000000001,Municipality
