Code,Reg,Dep,PopulationTotal,Level
01206,84,01,277.0,Municipality
01207,84,01,316.0,Municipality
01208,84,01,124.0,Municipality
01209,84,01,739.0,Municipality
01210,84,01,227.0,Municipality
01211,84,01,1405.0,Municipality
01212,84,01,734.999999999998,Municipality
01213,84,01,1303.0,Municipality
01214,84,01,152.0,Municipality
01215,84,01,131.0,Municipality
01215,,,131.0,Municipality
01216,84,01,889.000000000002,Municipality
01219,84,01,168.0,Municipality
01224,84,01,3146.0,Municipality
01225,84,01,384.0,Municipality
01227,84,01,644.000000000001,Municipality
01227,,,644.000000000001,Municipality
01228,84,01,635.0,Municipality
01229,84,01,1216.0,Municipality
01230,84,01,313.0,Municipality
01231,84,01,1962.99999999999,Municipality
01232,84,01,2244.0,Municipality
01233,84,01,131.0,Municipality
01234,84,01,172.0,Municipality
01235,84,01,1112.0,Municipality
01236,84,01,991.0,Municipality
01237,84,01,1654.0,Municipality
01238,84,01,2590.0,Municipality
01239,84,01,614.000000000002,Municipality
01240,84,01,641.0,Municipality
01241,84,01,1335.0,Municipality
01242,84,01,130.0,Municipality
01243,84,01,1224.0,Municipality
01244,84,01,7743.00000000001,Municipality
01245,84,01,913.0,Municipality
01246,84,01,2172.0,Municipality
01247,84,01,341.0,Municipality
01248,84,01,2100.0,Municipality
01249,84,01,9962.99999999999,Municipality
01250,84,01,1941.0,Municipality
01252,84,01,778.0,Municipality
01254,84,01,1992.0,Municipality
01255,84,01,622.0,Municipality
01257,84,01,344.0,Municipality
01258,84,01,1195.0,Municipality
01259,84,01,690.999999999998,Municipality
01260,84,01,296.999999999999,Municipality
01261,84,01,645.999999999999,Municipality
01262,84,01,6963.99999999998,Municipality
01263,84,01,3793.0,Municipality
01264,84,01,1040.0,Municipality
01265,84,01,3435.0,Municipality
01266,84,01,2489.0,Municipality
01267,84,01,1028.0,Municipality
01268,84,01,252.0,Municipality
01269,84,01,3446.0,Municipality
01272,84,01,1510.0,Municipality
01273,84,01,1756.0,Municipality
01274,84,01,639.0,Municipality
01275,84,01,2527.0,Municipality
01276,84,01,1619.0,Municipality
01277,84,01,119.0,Municipality
01279,84,01,89.0,Municipality
01280,84,01,141.0,Municipality
01281,84,01,4410.0,Municipality
01282,84,01,260.000000000001,Municipality
01283,84,01,22427.0,Municipality
01284,84,01,685.999999999999,Municipality
01285,84,01,1206.0,Municipality
01286,84,01,942.0,Municipality
01286,,,942.0,Municipality
01288,84,01,2620.0,Municipality
01289,84,01,6385.0,Municipality
01290,84,01,1201.0,Municipality
01291,84,01,838.0,Municipality
01293,84,01,157.0,Municipality
01294,84,01,873.000000000001,Municipality
01295,84,01,660.999999999999,Municipality
01296,84,01,408.000000000001,Municipality
01297,84,01,820.0,Municipality
01298,84,01,132.0,Municipality
01299,84,01,564.0,Municipality
01301,84,01,2511.0,Municipality
01302,84,01,159.0,Municipality
01303,84,01,1703.0,Municipality
01304,84,01,2963.99999999999,Municipality
01305,84,01,2257.99999999999,Municipality
01306,84,01,1625.0,Municipality
01307,84,01,849.0,Municipality
01308,84,01,811.999999999999,Municipality
01309,84,01,88.0,Municipality
01310,84,01,248.0,Municipality
01311,84,01,44.9999999999999,Municipality
01313,84,01,8233.00000000001,Municipality
01314,84,01,1729.0,Municipality
01317,84,01,324.0,Municipality
01318,84,01,727.0,Municipality
01319,84,01,463.0,Municipality
01320,84,01,3717.0,Municipality
01321,84,01,904.999999999996,Municipality
01322,84,01,4797.0,Municipality
01323,84,01,979.999999999998,Municipality
01325,84,01,970.999999999999,Municipality
01328,84,01,590.0,Municipality
01329,84,01,151.0,Municipality
01330,84,01,186.0,Municipality
01331,84,01,178.000000000001,Municipality
01332,84,01,751.0,Municipality
01333,84,01,3354.0,Municipality
01334,84,01,626.0,Municipality
01335,84,01,390.0,Municipality
01336,84,01,1147.0,Municipality
01337,84,01,1265.0,Municipality
01338,84,01,1193.0,Municipality
01338,,,1193.0,Municipality
01339,84,01,1433.0,Municipality
01342,84,01,570.0,Municipality
01343,84,01,1776.0,Municipality
01344,84,01,5747.0,Municipality
01345,84,01,2309.0,Municipality
01346,84,01,871.0,Municipality
01347,84,01,1960.0,Municipality
01348,84,01,2875.0,Municipality
01349,84,01,456.0,Municipality
01350,84,01,2448.0,Municipality
01351,84,01,1555.0,Municipality
01352,84,01,571.0,Municipality
01353,84,01,1667.0,Municipality
01354,84,01,12544.0,Municipality
01355,84,01,472.0,Municipality
01356,84,01,214.000000000001,Municipality
01357,84,01,500.999999999999,Municipality
01358,84,01,433.999999999999,Municipality
01359,84,01,236.000000000001,Municipality
01360,84,01,1787.0,Municipality
01361,84,01,1477.0,Municipality
01362,84,01,771.000000000001,Municipality
01363,84,01,1723.0,Municipality
01364,84,01,744.0,Municipality
01365,84,01,1149.0,Municipality
01366,84,01,1017.0,Municipality
01367,84,01,749.000000000001,Municipality
01368,84,01,817.0,Municipality
01369,84,01,926.0,Municipality
01370,84,01,1721.99999999999,Municipality
01371,84,01,1279.0,Municipality
01372,84,01,438.0,Municipality
01373,84,01,1049.0,Municipality
01374,84,01,1826.0,Municipality
01375,84,01,786.999999999998,Municipality
01376,84,01,3967.0,Municipality
01378,84,01,2572.0,Municipality
01379,84,01,756.0,Municipality
01380,84,01,680.000000000001,Municipality
01381,84,01,916.0,Municipality
01382,84,01,283.0,Municipality
01383,84,01,1529.0,Municipality
01384,84,01,2269.00000000001,Municipality
01385,84,01,994.000000000001,Municipality
01386,84,01,1157.0,Municipality
01387,84,01,257.0,Municipality
01388,84,01,1093.0,Municipality
01389,84,01,1799.0,Municipality
01390,84,01,1286.0,Municipality
01391,84,01,272.0,Municipality
01392,84,01,652.999999999997,Municipality
01393,84,01,530.0,Municipality
01396,84,01,953.0,Municipality
01397,84,01,1009.0,Municipality
01398,84,01,1351.0,Municipality
01399,84,01,2062.0,Municipality
01400,84,01,137.0,Municipality
01401,84,01,2084.00000000001,Municipality
01402,84,01,668.000000000001,Municipality
01403,84,01,1264.0,Municipality
01404,84,01,134.0,Municipality
01405,84,01,1247.0,Municipality
01406,84,01,175.0,Municipality
01407,84,01,999.0,Municipality
01408,84,01,671.000000000002,Municipality
01410,84,01,312.0,Municipality
01411,84,01,273.0,Municipality
01412,84,01,586.0,Municipality
01415,84,01,450.000000000001,Municipality
01416,84,01,1035.0,Municipality
01418,84,01,1088.0,Municipality
01419,84,01,6038.0,Municipality
01420,84,01,1741.0,Municipality
01421,84,01,726.0,Municipality
01422,84,01,1361.99999999999,Municipality
01423,84,01,1091.0,Municipality
01424,84,01,1681.0,Municipality
01425,84,01,286.0,Municipality
01426,84,01,2601.0,Municipality
01426,,,2601.0,Municipality
01427,84,01,6845.0,Municipality
01428,84,01,130.0,Municipality
01429,84,01,687.0,Municipality
01430,84,01,584.000000000001,Municipality
01431,84,01,1224.0,Municipality
01432,84,01,295.0,Municipality
01433,84,01,329.999999999999,Municipality
01434,84,01,438.0,Municipality
01435,84,01,2176.0,Municipality
01436,84,01,484.0,Municipality
01437,84,01,241.000000000001,Municipality
01439,84,01,99.0,Municipality
01441,84,01,707.0,Municipality
01443,84,01,4795.0,Municipality
01444,84,01,1173.0,Municipality
01445,84,01,656.000000000002,Municipality
01446,84,01,1501.0,Municipality
01447,84,01,1291.0,Municipality
01448,84,01,376.0,Municipality
01449,84,01,755.0,Municipality
01450,84,01,3652.99999999999,Municipality
01451,84,01,6418.0,Municipality
01452,84,01,1081.0,Municipality
01453,84,01,713.0,Municipality
01453,,,713.0,Municipality
01454,84,01,1097.0,Municipality
01456,84,01,70.0,Municipality
01457,84,01,2961.0,Municipality
02001,32,02,498.000000000001,Municipality
02002,32,02,598.0,Municipality
02003,32,02,1012.0,Municipality
02004,32,02,177.0,Municipality
02005,32,02,384.0,Municipality
02006,32,02,255.0,Municipality
02007,32,02,125.0,Municipality
02008,32,02,290.999999999999,Municipality
02009,32,02,543.000000000002,Municipality
02010,32,02,177.0,Municipality
02011,32,02,1155.0,Municipality
02012,32,02,70.0,Municipality
02013,32,02,403.999999999999,Municipality
02014,32,02,743.999999999999,Municipality
02015,32,02,75.0,Municipality
02016,32,02,228.000000000001,Municipality
02017,32,02,314.999999999999,Municipality
02018,32,02,2532.99999999999,Municipality
02018,,,2532.99999999999,Municipality
02019,32,02,364.0,Municipality
02020,32,02,456.000000000001,Municipality
02021,32,02,87.0,Municipality
02022,32,02,403.0,Municipality
02023,32,02,103.0,Municipality
02024,32,02,53.0,Municipality
02025,32,02,371.0,Municipality
02027,32,02,221.999999999999,Municipality
02028,32,02,2604.0,Municipality
02029,32,02,363.0,Municipality
02030,32,02,269.0,Municipality
02031,32,02,657.0,Municipality
02032,32,02,253.0,Municipality
02033,32,02,105.0,Municipality
02034,32,02,118.0,Municipality
02035,32,02,279.0,Municipality
02036,32,02,82.0000000000001,Municipality
02037,32,02,1421.99999999999,Municipality
02038,32,02,57.0,Municipality
02039,32,02,169.0,Municipality
02040,32,02,178.0,Municipality
02041,32,02,814.0,Municipality
02042,32,02,389.0,Municipality
02043,32,02,68.9999999999999,Municipality
02044,32,02,26.0,Municipality
02046,32,02,555.0,Municipality
02047,32,02,114.0,Municipality
02048,32,02,134.0,Municipality
02049,32,02,740.000000000003,Municipality
02050,32,02,330.0,Municipality
02051,32,02,384.0,Municipality
02052,32,02,139.0,Municipality
02053,32,02,570.0,Municipality
02053,,,570.0,Municipality
02054,32,02,460.0,Municipality
02055,32,02,92.0000000000001,Municipality
02056,32,02,177.0,Municipality
02057,32,02,1424.0,Municipality
02058,32,02,844.0,Municipality
02059,32,02,2699.0,Municipality
02060,32,02,268.0,Municipality
02061,32,02,250.0,Municipality
02062,32,02,136.0,Municipality
02063,32,02,381.0,Municipality
02064,32,02,3810.0,Municipality
02065,32,02,602.0,Municipality
02066,32,02,204.0,Municipality
02067,32,02,213.0,Municipality
02068,32,02,103.0,Municipality
02069,32,02,111.0,Municipality
02070,32,02,452.000000000001,Municipality
02071,32,02,650.999999999999,Municipality
02072,32,02,188.0,Municipality
02073,32,02,652.999999999999,Municipality
02074,32,02,603.999999999998,Municipality
02075,32,02,199.0,Municipality
02076,32,02,162.0,Municipality
02077,32,02,385.0,Municipality
02078,32,02,160.0,Municipality
02079,32,02,152.0,Municipality
02080,32,02,350.0,Municipality
02081,32,02,440.0,Municipality
02082,32,02,111.0,Municipality
02083,32,02,749.0,Municipality
02084,32,02,260.0,Municipality
02085,32,02,1043.0,Municipality
02086,32,02,1048.0,Municipality
02087,32,02,30.0,Municipality
02088,32,02,88.0000000000002,Municipality
02089,32,02,1154.0,Municipality
02090,32,02,213.0,Municipality
02091,32,02,106.0,Municipality
02093,32,02,1290.0,Municipality
02094,32,02,447.0,Municipality
02095,32,02,5664.0,Municipality
02096,32,02,201.0,Municipality
02097,32,02,259.0,Municipality
02098,32,02,375.0,Municipality
02099,32,02,236.0,Municipality
02100,32,02,137.0,Municipality
02101,32,02,193.0,Municipality
02102,32,02,187.0,Municipality
02103,32,02,1324.0,Municipality
02104,32,02,102.0,Municipality
02105,32,02,202.0,Municipality
02106,32,02,822.0,Municipality
02107,32,02,103.0,Municipality
02108,32,02,158.0,Municipality
02109,32,02,485.999999999999,Municipality
02110,32,02,2213.0,Municipality
02111,32,02,708.0,Municipality
02112,32,02,565.000000000001,Municipality
02114,32,02,1529.0,Municipality
02115,32,02,203.0,Municipality
02116,32,02,146.0,Municipality
02117,32,02,67.0000000000003,Municipality
02118,32,02,121.0,Municipality
02119,32,02,340.0,Municipality
02120,32,02,195.0,Municipality
02121,32,02,244.0,Municipality
02122,32,02,53.0,Municipality
02123,32,02,303.0,Municipality
02124,32,02,653.0,Municipality
02125,32,02,213.0,Municipality
02126,32,02,456.0,Municipality
02127,32,02,189.0,Municipality
02128,32,02,1532.0,Municipality
02129,32,02,19.0,Municipality
02130,32,02,193.0,Municipality
02131,32,02,1880.0,Municipality
02132,32,02,203.0,Municipality
02133,32,02,411.0,Municipality
02134,32,02,868.999999999999,Municipality
02135,32,02,1168.0,Municipality
02136,32,02,128.0,Municipality
02137,32,02,152.0,Municipality
02138,32,02,190.0,Municipality
02139,32,02,437.999999999999,Municipality
02140,32,02,454.0,Municipality
02141,32,02,1788.0,Municipality
02142,32,02,244.0,Municipality
02143,32,02,192.0,Municipality
02144,32,02,144.999999999999,Municipality
02145,32,02,546.0,Municipality
02146,32,02,87.0,Municipality
02148,32,02,258.0,Municipality
02149,32,02,67.0000000000003,Municipality
02150,32,02,64.0,Municipality
02151,32,02,115.0,Municipality
